title, price
Beautiful 51/2 upper duplex in chomedey laval,$1200
CDN on Linton  - All renovated 4 1/2,$951
Studio meublé à louer sur le Plateau Mont-Royal/ Furnished Studio on P,$1195
Chambre à louer près du Canal Lachine,$490
3 1/2 Renove a neuf et Meuble,$1300
Joli 5 1/2, tout meublé, tout équipé, tout inclus. Pour le 1er janvier,$1400
PLATEAU - 4.5, BALCONS, MÉTRO MONT-ROYAL,$1395
Renovated Large 4 1/2 in NDG for Now or December,$1050
Plateau apartment, 2.5- Heating, Water, Elect. INCLUDED!,$650
Furnished Condo 1 bedroom + 1 den (3 1/2) FEBRUARY 2019,$1550
Bright & renovated 4 bed/2 bath semi-detached house in NDG (Monkland),$3600
Magnifique 2 1/2 , Le Plateau,$630
spacious loft . ideal communal living space,$1500
1 BEDROOM CONDO - COMPLETELY FURNISHED WITH EVERYTHING INCLUDED,$1750
HEART OF DOWNTOWN - Luxurious 2 bedr condo, w/appliances!(Maisonneuve),$2300
PEACEFUL AREA Condo design on 2 levels FULLY FURNISHED! (NDG),$2750
SUPERB APARTMENT WITH CONDO STYLE FINISH AND ONE CLOSED BEDROOM.,$1035
SUPERB 3 1/2 BRAND NEW CONDO  UNFURNISHED  FOR $875/MONTH,$875
Short-long-term Downtown 4 ½ Furnished Condo style Fully Reno,$1600
Renovated condo | Fully Furnished | Old-MTL | For Rent,$1950
OLD MONTREAL CONDO FOR RENT $1500/MONTH,$1500
EAST MONTREAL: 3 BEDROOM HOUSE AVAILABLE FOR RENT SEMI-FURNISHED,$1400
4 BEDROOMS APARTMENT LOCATED DOWNTOWN !!!,$3000
SUPERB CONDO NEAR THE ATWATER MARKET !!,$1750
WONDERFUL APARTMENT WITH CONDO STYLE FINISH, 2 BEDROOMS,$1235
Heart of Old Montreal & Near Metro! Charming 4 ½ for Rent Furnished!,$2800
SUPERB CONDO IN OLD MONTREAL AVAILABLE FOR RENT SEMI-FURNISHED.,$1850
SUPERB 3 1/2 CONDO OF 600 SQ.FT FULLY FURNISHED AND EQUIPPED,$1600
PRÉFONTAINE METRO STATION: 2 CLOSED BEDROOMS FURNISHED RENTAL,$1900
Incredible 4 1/2 near Sherbrooke metro and Duluth Street,$1575
SUPERB 1000 SQ. FT. CONDO WITH 1 BEDROOM AND 1 OFFICE,$1650
Downtown Montreal Studio Apartment near McGill and Concordia,$1000
LE SUD OUEST: PERFECT LOCATION !! FURNISHED STUDIO,$1500
3.5 available for February - PARC-EX - JEAN TALON,$675
SOUTHWEST: ONE BEDROOM APARTMENT - FULLY FURNISHED,$1250
Magnifique studio meublé à 2 minutes à pied du métro Sherbrooke,$1300
IDEAL LOCATION IN THE HEART OF DOWNTOWN !!,$1595
4 1/2 Saint-Lambert**Près** Downtown MONTREAL ET METRO LONGUEUIL,$750
QUARTIER INTERNATION - Contemporary loft for rent FULLY FURNISHED!,$1600
PLATEAU MONT-ROYAL: 800 SQ.FT LOFT OFFERED FOR RENT FULLY FURNISHED,$1700
Old Port Montreal- New condo apartment for rent- 2 bedrooms,$1500
studio,bachelor,1 1/2,Downtown,Westmount,condo,new,Nov/ Dec,$750
PRIME LOCATION! 950 sq ft condo, Furnished, 2 BR. (St-Louis),$2500
DOMO-New Condo Penthouse Apt/ Old-Port,Ville-Marie, Square Victoria,$3250
1 BEDROOM CONDO - COMPLETELY FURNISHED WITH EVERYTHING INCLUDED,$1750
Mile-End!!!Renovated 5 1/2!!!Parc av!!!Heating Included!1 Month free!!,$1700
Rosemont!!!4 1/2 rénové!!!50m du métro Rosemont!!!1 Month free!!!,$1200
Mile-End!!Renovated 5 1/2!!!Parc av!!!Heating Included!!1 Month free!!,$1850
DOMO-New Condo Apt. 2 Bedroom/ Old-Port,Ville-Marie, Square Victoria,$2150
Plateau!!!5 ½ (3 beds)!!Heating included!!Clark street!!,$1800
PLATEAU!Beautiful renovated 3 1/2!!Lafontaine Park!!1 Month free!!,$1100
Plateau!!5 ½!!Clark street!! Heating included !!!,$1800
DOMO-New Condo Studio Apartment/ Old-Port,Ville-Marie, Square Victoria,$1250
TERREBONNE: LUXURY 4 1/2 CONDO WITH 5 APPLIANCES AVAILABLE FOR RENT.,$1235
DOMO-New Condo Apt. 1 Bedroom/ Old-Port,Ville-Marie, Square Victoria,$1450
UPPER DUPLEX FOR RENT COTE ST.LUC,$1650
UPPER DUPLEX,$1650
New Condo Apartment 3 Bedrooms/ Griffintown-Sud-Ouest-Little Burgundy,$3500
Downtown 2bd - NEW FULLY RENOVATED - December,$1000
Metro Place D'Armes Big 3 1/2,$850
Charming 2 1/2 fully renovated, terrace with a view, parking etc,$800
Room-in 4000sqft Loft of historical Clock Factory - Downtown,$400
Renovated Studio Apt in Plateau. 5 Min to metro. For 1 person.,$450
New condo for rent,$850
NDG 2 bedroom condo - interior parking - $1100 3300 Cavendish,$1100
1 BEDROOM - HEATING & HOT WATER INCLUDED -,$500
Studio Basement Apartment Available Downtown!,$675
Bright 2 Bedroom Apartment Available Downtown!,$1350
Cute Compact Studio Available Downtown!,$725
Charming Studio Apartment Available Downtown!,$830
EXCEPTIONELLE CONDO À GRIFFINTOWN,$5000
New Condo Apartment 2 Bedrooms/ Griffintown-Sud-Ouest-Little Burgundy,$2250
All inclusive open concept 3 1/2 condo for rent,$1320
New Condo Studio Apartment/ Griffintown-Sud-Ouest-Little Burgundy,$1450
CONDO IMPECCABLE TOUT MEUBLÉ VIEUX MONTRÉAL,$2300
New Condo Apartment 1 Bedroom/ Griffintown-Sud-Ouest-Little Burgundy,$1650
Luxurious 2 bedroom plus den condo for rent in Old Montreal,$3500
STE-ROSE: LAVAL: CHARMING HOUSE FOR RENT FULLY FURNISHED,$1500
Beautiful and spacious 2 bedroom apartment,$1900
***Perfect 3 1/2 - AAA Location***,$1400
WATERFRONT FULLY FURNISHED 4.5*WiFi* SATELLITE TV*ALL INCL*FLEX TERMS,$1700
LACHINE WATERFRONT FULLY FURNISHED 4 1/2*FIREPLACE*WiFi* FLEX TERMS,$1575
VILLERAY: Brand new 3 bed with garage,$2375
Prime location in Downtown Montreal 2bath+2bdrms,$2450
STUDIO ON PLATEAU CLOSE TO SUBWAY and McGill or Guy Concordia Universiiversi,$650
Downtown Studio Apt. 1 ½  Dec. 15 or Jan 1 - $100 take my lease!,$630
Condo 4 ½ PARC-LAFONTAINE,$1600
Condos locatifs Giantonio à Villeray,$1700
New Condo Apartment 3 Bedroom/ Griffintown-Sud-Ouest-Atwater Market,$2950
3 bedrooms Outremont / Mile End (heating hot/water included),$1975
New Condo Apartment 1 Bedroom/ Griffintown-Sud-Ouest-Atwater Market,$1560
New Condo Apartment 2 Bedrooms/ Griffintown-Sud-Ouest-Atwater Market,$2100
Apartment on 16th floor for rent,$1595
Grand 4 1/2-NDG / Metro Villa-Maria,$1300
3 1/2 (1Bedroom) -NDG / Metro Villa-Maria,$750
1 1/2 Park Ex- All Utilities Included,$550
Semi-furnished Condo 2-3BR HUGE Terrasse Parc Lafontaine,$2140
2br RDC Renove Open Terrasse Parking MileEnd,$2480
Sur Linton - 4  1/2  renove  comme un Condo - 1 er etage,$1050
1 1/2   pres des HEC   Style condo et meuble avec gout,$800
3 1/2   pres des HEC   Style condo et meuble avec gout,$1345
Renovated 2-bedroom apartment from Dec 15 or Jan 1,$1300
TERREBONNE: LUXURY 4 1/2 CONDO WITH 5 APPLIANCES AVAILABLE FOR RENT.,$1195
155 AVE DORVAL,$725
155 AVE DORVAL,$850
4750 SAMSON,$690
4750 SAMSON,$790
A REAL GEM !! COMPLETELY FURNISHED HOUSING IN VERDUN !!,$1700
1 bedroom apartment, McGill Ghetto, all utilities included;,$550
4100/4120 DUPUIS,$950
3 1/2 Units on Talleyrand in Brossard,$635
4 1/2 Units on Talleyrand in Brossard (2 floor town houses),$825
4 1/2 Units on Talleyrand in Brossard,$725
5 1/2 units on Talleyrand in Brossard	(2 floor town houses),$1050
Modern 4 1/2 for Rent by the Atwater Market,$650
A pied du Métro Rosemont,$495
LOVELY FURNISHED CONDO (JOLIETTE  METRO),$1600
FRONTENAC METRO - BEAUTIFUL FULLY FURNISHED CONDO AVAILABLE,$1500
1 BEDROOM CONDO - COMPLETELY FURNISHED WITH EVERYTHING INCLUDED,$1750
NEW APARTMENT WITH 2 CLOSED BEDROOMS !!,$1375
