Rent Price,Location,NumBed,NumBath,Living Area,Land Area
854 900 $,Gatineau (Aylmer),5,3+1,2566pi^2,10067pi^2
789 000 $,Le Sud-Ouest,2,1,2566pi^2,2500pi^2
450 000 $,Brossard,3,2+1,1422pi^2,2127pi^2
345 000 $,St-Sauveur,2,2+1,1511pi^2,5298pi^2
290 000 $,St-Jérôme (St-Antoine),4,1+1,1190pi^2,7591pi^2
279 000 $,Repentigny (Repentigny),3,2+1,1539pi^2,6353pi^2
355 000 $,Ste-Rose,3,1+1,1200pi^2,3780pi^2
169 000 $,Donnacona,3,1,1200pi^2,4699pi^2
399 000 $,Blainville,3,2+1,1776pi^2,6000pi^2
479 000 $,St-Mathieu-De-Rioux,3,2,2650pi^2,43000pi^2
250 000 $,St-Henri-de-Lévis,3,2+1,1570pi^2,10147pi^2
104 000 $,Baie-Comeau,2,1,848pi^2,1800pi^2
300 000 $,Anjou,4,2,984pi^2,2160pi^2
160 000 $,Hébertville,3,2,936pi^2,60100pi^2
359 900 $,St-Jean-Chrysostome,6,2,1404pi^2,7742pi^2
179 900 $,ND-De-Lourdes,2,1+1,1055pi^2,9613pi^2
599 000 $,Saint-Sacrement,5,2,1055pi^2,3999pi^2
224 500 $,Sherbrooke (Jacques-Cartier),3,1+1,1098pi^2,5000pi^2
